% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
34	1	2	1	0	0	28	2196	0	1	1	0
42	1	1	3	0	0	26	1836	0	1	1	0
43	1	5	2	0	0	28	2196	0	1	1	0
44	1	4	4	0	0	22	1383	0	1	1	0
48	1	1	3	0	0	28	2196	0	1	1	0
51	1	1	3	0	0	28	2196	0	1	1	0
52	1	4	4	0	0	6	309	0	1	1	0
56	1	2	1	0	0	28	2196	0	1	1	0
58	1	5	2	0	0	28	2196	0	1	1	0
59	1	3	6	0	0	28	2196	0	1	1	0
65	1	4	4	0	0	20	1191	0	1	1	0
66	1	5	2	0	0	28	2196	0	1	1	0
68	1	1	3	0	0	20	1191	0	1	1	0
76	1	1	3	0	0	28	2196	0	1	1	0
78	1	2	1	0	0	28	373	0	1	1	0
78	1	4	4	0	0	24	1335	0	1	1	0
80	1	3	6	0	0	28	2196	0	1	1	0
81	1	1	3	0	0	28	2196	0	1	1	0
85	1	4	4	0	0	20	1191	0	1	1	0
87	1	5	2	0	0	28	2196	0	1	1	0
90	1	2	1	0	0	28	2196	0	1	1	0
94	1	5	2	0	0	28	2196	0	1	1	0
102	1	3	6	0	0	28	2196	0	1	1	0
103	1	2	1	0	0	28	2196	0	1	1	0
104	1	1	3	0	0	28	2196	0	1	1	0
112	1	1	3	0	0	28	2196	0	1	1	0
121	1	3	6	0	0	28	2196	0	1	1	0
122	1	2	1	0	0	28	2196	0	1	1	0
127	1	5	2	0	0	28	2196	0	1	1	0
150	1	4	4	0	0	24	1620	0	1	1	0
160	1	4	4	0	0	22	1383	0	1	1	0
171	1	4	4	0	0	12	597	0	1	1	0
177	1	1	3	0	0	28	2196	0	1	1	0
181	1	5	2	0	0	28	2196	0	1	1	0
186	1	3	6	0	0	28	2196	0	1	1	0
190	1	2	1	0	0	28	2196	0	1	1	0
194	1	5	2	0	0	28	2196	0	1	1	0
195	1	1	3	0	0	18	967	0	1	1	0
197	1	3	6	0	0	28	2196	0	1	1	0
207	1	3	6	0	0	28	2196	0	1	1	0
210	1	2	1	0	0	28	2196	0	1	1	0
216	1	2	1	0	0	28	2196	0	1	1	0
217	1	5	2	0	0	28	2196	0	1	1	0
219	1	1	3	0	0	28	2196	0	1	1	0
220	1	3	6	0	0	28	2196	0	1	1	0
221	1	4	4	0	0	24	1620	0	1	1	0
237	1	1	3	0	0	24	1620	0	1	1	0
238	1	4	4	0	0	20	1191	0	1	1	0
240	1	3	6	0	0	28	2196	0	1	1	0
252	1	3	6	0	0	28	2196	0	1	1	0
261	1	4	4	0	0	16	903	0	1	1	0
269	1	2	1	0	0	28	2196	0	1	1	0
272	1	3	6	0	0	28	2196	0	1	1	0
278	1	4	4	0	0	28	373	0	1	1	0
278	1	5	2	0	0	28	1836	0	1	1	0
280	1	1	3	0	0	28	2196	0	1	1	0
283	1	2	1	0	0	28	2196	0	1	1	0
288	1	5	2	0	0	28	2196	0	1	1	0
289	1	2	1	0	0	28	2196	0	1	1	0
294	1	1	3	0	0	28	2196	0	1	1	0
299	1	2	1	0	0	28	2196	0	1	1	0
305	1	5	2	0	0	28	2196	0	1	1	0
317	1	2	1	0	0	28	2196	0	1	1	0
328	1	4	4	0	0	4	217	0	1	1	0
330	1	3	6	0	0	28	2196	0	1	1	0
340	1	5	2	0	0	24	1620	0	1	1	0
347	1	1	3	0	0	24	1620	0	1	1	0
350	1	3	6	0	0	28	2196	0	1	1	0
351	1	4	4	0	0	18	967	0	1	1	0
353	1	2	1	0	0	28	2196	0	1	1	0
358	1	3	6	0	0	28	2196	0	1	1	0
359	1	2	1	0	0	28	2196	0	1	1	0
365	1	1	3	0	0	28	373	0	1	1	0
365	1	4	4	0	0	20	999	0	1	1	0
367	1	5	2	0	0	28	2196	0	1	1	0
370	1	3	6	0	0	28	2196	0	1	1	0
377	1	1	3	0	0	28	2196	0	1	1	0
386	1	5	2	0	0	28	2196	0	1	1	0
387	1	2	1	0	0	28	373	0	1	1	0
387	1	4	4	0	0	22	1143	0	1	1	0
394	1	3	6	0	0	28	2196	0	1	1	0
395	1	1	3	0	0	22	1383	0	1	1	0
397	1	2	1	0	0	28	2196	0	1	1	0
403	1	5	2	0	0	28	2196	0	1	1	0
404	1	1	3	0	0	24	1620	0	1	1	0
405	1	2	1	0	0	28	2196	0	1	1	0
418	1	3	6	0	0	28	2196	0	1	1	0
424	1	2	1	0	0	28	2196	0	1	1	0
426	1	1	3	0	0	28	2196	0	1	1	0
427	1	5	2	0	0	28	2196	0	1	1	0
435	1	1	3	0	0	28	2196	0	1	1	0
436	1	3	6	0	0	28	2196	0	1	1	0
445	1	2	1	0	0	28	2196	0	1	1	0
468	1	4	4	0	0	20	1191	0	1	1	0
471	1	1	3	0	0	28	2196	0	1	1	0
478	1	2	1	0	0	28	2196	0	1	1	0
482	1	3	6	0	0	28	2196	0	1	1	0
483	1	5	2	0	0	28	2196	0	1	1	0
484	1	1	3	0	0	28	2196	0	1	1	0
493	1	5	2	0	0	28	2196	0	1	1	0
498	1	4	4	0	0	22	1383	0	1	1	0
500	1	5	2	0	0	28	2196	0	1	1	0
513	1	2	1	0	0	28	2196	0	1	1	0
517	1	1	3	0	0	28	2196	0	1	1	0
518	1	4	4	0	0	12	597	0	1	1	0
521	1	2	1	0	0	28	2196	0	1	1	0
522	1	1	3	0	0	28	2196	0	1	1	0
523	1	5	2	0	0	28	2196	0	1	1	0
533	1	5	2	0	0	28	2196	0	1	1	0
538	1	2	1	0	0	28	2196	0	1	1	0
